Category,First Word Letters,Number of Words,Phrase,Total Number of Letters
Around the House,1,4,A Pile Of Coats,12
Around the House,1,7,A Pile Of Coats On The Bed,20
Around the House,1,5,A Shelf Full Of Knickknacks,23
Around the House,1,6,A Sock With Holes In It,18
Around the House,1,5,A Vase Filled With Sunflowers,25
Around the House,1,4,A Vase Of Flowers,14
Around the House,1,7,A Vase Of Fresh Cut Garden Flowers,28
Around the House,6,2,Accent Cabinet,13
Around the House,6,2,Accent Furniture,15
Around the House,6,2,Accent Window,12
Around the House,7,2,Address Book,11
Around the House,7,2,Address Labels,13
Around the House,10,3,Adjustable Shoe Rack,18
Around the House,10,3,Adjustable Swivel Stool,21
Around the House,6,2,Afghan Rug,9
Around the House,10,2,After-Shave Lotion,16
Around the House,3,2,Air Conditioning,15
Around the House,3,2,Air Freshener,12
Around the House,3,2,Air Mattress,11
Around the House,5,2,Alarm Clock,10
Around the House,5,5,Alarm Clock With Nature Sounds,26
Around the House,8,3,All-In-One Home Gym,15
Around the House,10,2,All-Purpose Cleaners,18
Around the House,8,3,Aloe-Vera Hand Soap,16
Around the House,7,2,Amusing Yarn,11
Around the House,2,6,An Air Conditioner Running Full Blast,32
Around the House,5,4,Angle Broom With Dustpan,21
Around the House,6,2,Angora Sweater,13
Around the House,12,2,Animal-Shaped Lamps,17
Around the House,6,4,Annual Sailing Weekend Event,25
Around the House,13,3,Antibacterial Hand Wipes,22
Around the House,10,2,Antiplaque Mouthwash,19
Around the House,7,2,Antique Bathtub,14
Around the House,7,2,Antique Clock,12
Around the House,7,2,Antique Crock,12
Around the House,7,3,Antique Desk Lamp,15
Around the House,7,3,Antique Dining Table,18
Around the House,7,2,Antique Furnishings,18
Around the House,7,3,Antique Jewelry Box,17
Around the House,7,3,Antique Oak Bookcase,18
Around the House,7,3,Antique Polaroid Camera,21
Around the House,7,3,Antique Porcelain Vase,20
Around the House,7,2,Antique Quilts,13
Around the House,7,3,Antique Sewing Machine,20
Around the House,7,3,Antique Sterling-Silver Coffeepot,30
Around the House,7,2,Antique Telephone,16
Around the House,7,2,Antique Vase,11
Around the House,11,2,Anti-Wrinkle Cream,16
Around the House,5,3,Apple Cinnamon Candle,19
Around the House,11,2,Appointment Book,15
Around the House,4,2,Area Rugs,8
Around the House,3,3,Arm & Hammer Spinbrush,18
Around the House,8,1,Armchair,8
Around the House,7,2,Armless Chair,12
Around the House,6,3,Around The House,14
Around the House,3,4,Art Deco Bedroom Set,17
Around the House,5,2,Attic Stairs,11
Around the House,9,4,Automatic Garage Door Opener,25
Around the House,9,3,Automatic Garage-Door Opener,25
Around the House,6,3,Autumn Branch Centerpiece,23
Around the House,12,2,Autumn-Branch Centerpiece,23
Around the House,4,2,Baby Oil,7
Around the House,4,2,Baby Powder,10
Around the House,4,2,Baby Quilt,9
Around the House,4,2,Baby Shampoo,11
Around the House,4,2,Baby Wipes,9
Around the House,5,2,Baby's Highchair,14
Around the House,8,1,Backdoor,8
Around the House,8,3,Backyard Bird Feeder,18
Around the House,8,2,Backyard Birdhouse,17
Around the House,8,2,Backyard Furniture,17
Around the House,8,2,Backyard Gazebo,14
Around the House,8,2,Backyard Pool,12
Around the House,13,2,Bacon-Flavored Toothpaste,23
Around the House,6,5,Baker's Rack With Wine Storage,25
Around the House,6,5,Bakers Rack With Wine Storage,25
Around the House,6,2,Baking Supplies,14
Around the House,6,3,Bamboo Coffee Table,17
Around the House,6,3,Bamboo Drawer Organizers,22
Around the House,6,3,Bamboo Place Mats,15
Around the House,6,3,Bamboo Shoe Rack,14
Around the House,3,2,Bar Soap,7
Around the House,8,2,Barbecue Grill,13
Around the House,8,2,Barbecue Tongs,13
Around the House,4,2,Bath Mat,7
Around the House,4,2,Bath Products,12
Around the House,4,2,Bath Towel,9
Around the House,4,2,Bath Towels,10
Around the House,7,1,Bathmat,7
Around the House,8,1,Bathmats,8
Around the House,8,2,Bathroom Cleaner,15
Around the House,8,4,Bathroom Cleaner With Bleach,25
Around the House,8,2,Bathroom Fixtures,16
Around the House,8,2,Bathroom Mirror,14
Around the House,8,2,Bathroom Scale,13
Around the House,8,2,Bathroom Scales,14
Around the House,8,3,Bathroom Soap Dispenser,21
Around the House,8,2,Bathroom Window,14
Around the House,7,1,Bathtub,7
Around the House,7,2,Battery Charger,14
Around the House,3,2,Bay Window,9
Around the House,8,2,Bayberry Candles,15
Around the House,6,3,Beaded Napkin Rings,17
Around the House,7,2,Beanbag Chair,12
Around the House,8,3,Beanbags & Lounge Chairs,20
Around the House,9,2,Beautiful Bedding,16
Around the House,9,3,Beautiful Coffee-Table Book,24
Around the House,9,2,Beautiful Decanter,17
Around the House,9,3,Beautiful Glass Vase,18
Around the House,7,2,Bedding & Bath,11
Around the House,9,1,Bed-In-A-Bag,9
Around the House,7,2,Bedside Lamp,11
Around the House,7,2,Bedside Table,12
